Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0MB0 0.12 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-0MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-0MB0 - model_name | model_no | model_name | model_number |||| 0.12 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,0.12 kw | 1fk2204-5ak01-0mb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-0SB0 0.57 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-0SB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-0SB0 - model_name | model_no | model_name | model_number |||| 0.57 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,0.57 kw | 1fk2204-5ak01-0sb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1MB0 0.12 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-1MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK01-1MB0 - model_name | model_no | model_name | model_number |||| 0.12 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,0.12 kw | 1fk2204-5ak01-1mb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK01-1SB0 0.57 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK01-1SB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0MB0 0.57 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.57 kw - power | kilowatt | wattage |||| 1FK2204-5AK10-0MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2204-5AK10-0MB0 - model_name | model_no | model_name | model_number |||| 0.57 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,0.57 kw | 1fk2204-5ak10-0mb0 | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2204-5AK10-0SB0 0.12 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.12 kw - power | kilowatt | wattage |||| 1FK2204-5AK10-0SB0 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AB01-1SB0 4.5 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 4.5 kw - power | kilowatt | wattage |||| 1FK2210-3AB01-1SB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2210-3AB01-1SB0 - model_name | model_no | model_name | model_number |||| 4.5 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,1fk2210-3ab01-1sb0 | 4.5 kw | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2210-3AC01-0MB0 5.5 kW,6,3,11,12,4,4,54.5%,75.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 5.5 kw - power | kilowatt | wattage |||| 1FK2210-3AC01-0MB0 - model_number | part_number | model,SIEMENS - brand | company | manufacturer | make |||| SIMOTICS S-1FK2 - model_number | model_name | model | model_no |||| 1FK2210-3AC01-0MB0 - model_name | model_no | model_name | model_number |||| 5.5 kW - power_source | power_supply | power_type | power,brand | company | manufacturer | model | model number | power,1fk2210-3ac01-0mb0 | 5.5 kw | siemens,kilowatt | motor type | part number | product type | wattage,make | model name | model no | power source | power supply | power type
SIEMENS SINAMICS S200 Servo Motor 1FL2306-4AC01-0HB0 0.1 kW,0,0,11,0,4,0,0.0%,0.0%,siemens - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| 0.1 kw - power | kilowatt | wattage |||| S200 - model_number | part_number | model,,,,brand | company | kilowatt | manufacturer | model | model number | motor type | part number | power | product type | wattage,
SIMOTICS 1FK7 1FK7043-4CH7 MOTER 1.2kW,4,0,8,14,3,4,50.0%,0.0%,motor - motor_type | product_type |||| 1.2 kw - power | kilowatt | wattage |||| 1FK7043-4CH7 - model_number | part_number | model,SIMOTICS - brand | company | manufacturer | make |||| 1FK7 1FK7043-4CH7 - model_number | model_name | model | model_no |||| MOTER - power_source | power_supply | power_type |||| 1.2kW - power | wattage | power_rating,model | model number | power | wattage,,kilowatt | motor type | part number | product type,brand | company | make | manufacturer | model name | model no | power rating | power source | power supply | power type
SIMOTICS S Synchronous motor 1FK7 1FK7103-2AC71-1RH1,4,1,5,12,2,3,80.0%,50.0%,synchronous motor - motor_type | product_type |||| 1FK7103-2AC71-1RH1 - model_number | part_number | model,SIMOTICS - brand | model_number | type | company | model_name | motor_type | manufacturer | model | product_type | make | model_no | device_type,model | model number | motor type | product type,synchronous motor,part number,brand | company | device type | make | manufacturer | model name | model no | type
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1QB1,0,0,5,0,2,0,0.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1QB1 - model_number | part_number | model,,,,model | model number | motor type | part number | product type,
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RB1,2,0,5,8,2,2,40.0%,0.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1RB1 - model_number | part_number | model,SIMOTICS - brand | company | manufacturer | make |||| Synchronous Motor 1FK7 1FK7081-3BF71-1RB1 - model_number | model_name | model | model_no,model | model number,,motor type | part number | product type,brand | company | make | manufacturer | model name | model no
SIMOTICS S synchronous motor 1FK7 1FK7081-3BF71-1RH1,4,1,5,12,2,3,80.0%,50.0%,synchronous motor - motor_type | product_type |||| 1FK7081-3BF71-1RH1 - model_number | part_number | model,SIMOTICS - brand | company | manufacturer | make |||| 1FK7 1FK7081-3BF71-1RH1 - model_number | model_name | model | model_no |||| Synchronous Motor - type | motor_type | product_type | device_type,model | model number | motor type | product type,synchronous motor,part number,brand | company | device type | make | manufacturer | model name | model no | type
SIMOTICS S synchronous motor 1FK7- 1FK7103-3BC71-1QA1,2,1,5,8,2,3,40.0%,50.0%,synchronous motor - motor_type | product_type |||| 1FK7103-3BC71-1QA1 - model_number | part_number | model,SIMOTICS - brand | company | manufacturer | make |||| 1FK7- 1FK7103-3BC71-1QA1 - model_number | model_name | model | model_no |||| Synchronous Motor - model_name | model_no | model | model_name,model | model number,synchronous motor,motor type | part number | product type,brand | company | make | manufacturer | model name | model no
SMC Electric Actuator,0,0,4,8,1,2,0.0%,0.0%,actuator - application | use |||| actuator - product_category | category,SMC - brand | company | manufacturer | make |||| Electric Actuator - type | motor_type | product_type | device_type,,,application | category | product category | use,brand | company | device type | make | manufacturer | motor type | product type | type
STP-43D2035 Stepper Motor,2,0,7,4,3,1,28.6%,0.0%,stepper motor - motor_type | product_type |||| three phase - phase | supply_phase |||| 43D2035 - model_number | part_number | model,STP-43D2035 - model_number | model_name | model | model_no,model | model number,,motor type | part number | phase | product type | supply phase,model name | model no
Schneider Ats48 Soft Starter Repairs,4,0,7,12,2,3,57.1%,0.0%,schneider electric - brand | manufacturer | company |||| starter - application | use |||| starter - product_category | category,Schneider - brand | company | manufacturer | make |||| Ats48 - model_number | model_name | model | model_no |||| Repairs - usage_application | application | usage | suitable_for,application | brand | company | manufacturer,,category | product category | use,make | model | model name | model no | model number | suitable for | usage | usage application
Schneider Electric BSH0703P11A2A Servo Motor,5,2,8,8,3,2,62.5%,66.7%,schneider electric - brand | manufacturer | company |||| servo motor - motor_type | product_type |||| BSH0703P11A2A - model_number | part_number | model,Schneider Electric - brand | company | manufacturer | make |||| BSH0703P11A2A - model_number | model_name | model | model_no,brand | company | manufacturer | model | model number,bsh0703p11a2a | schneider electric,motor type | part number | product type,make | model name | model no
Servo Motor,0,1,2,4,1,1,0.0%,100.0%,servo motor - motor_type | product_type,Servo Motor - model_number | model_name | model | model_no,,servo motor,motor type | product type,model | model name | model no | model number
Servo Motor & Variac Motor,2,0,2,4,2,1,100.0%,0.0%,servo motor - motor_type | product_type |||| ac motor - motor_type | product_type,Servo Motor & Variac Motor - type | motor_type | product_type | device_type,motor type | product type,,,device type | type
Servo Motor Repairing Service,2,1,2,8,1,2,100.0%,100.0%,servo motor - motor_type | product_type,Servo Motor - type | motor_type | product_type | device_type |||| Repairing - usage_application | application | usage | suitable_for,motor type | product type,servo motor,,application | device type | suitable for | type | usage | usage application
Sew Brake Motor,5,2,5,8,2,2,100.0%,100.0%,sew - brand | manufacturer | company |||| brake motor - motor_type | product_type,Sew - brand | company | manufacturer | make |||| Brake Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,brake motor | sew,,device type | make | type
Sew Eurodrive CMP50M AC Synchronous Motor,5,0,7,12,3,3,71.4%,0.0%,sew - brand | manufacturer | company |||| synchronous motor - motor_type | product_type |||| ac - current_type | supply_type,Sew Eurodrive - brand | company | manufacturer | make |||| CMP50M - model_number | model_name | model | model_no |||| AC Synchronous Motor - type | motor_type | product_type | device_type,brand | company | manufacturer | motor type | product type,,current type | supply type,device type | make | model | model name | model no | model number | type
Sew-eurodrive,3,0,3,4,1,1,100.0%,0.0%,sew - brand | manufacturer | company,Sew-Eurodrive - brand | company | manufacturer | make,brand | company | manufacturer,,,make
Sew-eurodrive servo Motor cmp50m/pk/vr/rh1m/sm1,3,0,5,8,2,2,60.0%,0.0%,sew - brand | manufacturer | company |||| servo motor - motor_type | product_type,Sew-Eurodrive - brand | company | manufacturer | make |||| CMP50M/PK/VR/RH1M/SM1 - model_number | model_name | model | model_no,brand | company | manufacturer,,motor type | product type,make | model | model name | model no | model number
Shade Pole Rexnord c Frame Motor Rec-6110-A2,2,0,2,16,1,4,100.0%,0.0%,motor - motor_type | product_type,Rexnord - brand | company | manufacturer | make |||| Rec-6110-A2 - model_number | model_name | model | model_no |||| Shade Pole - type | motor_type | product_type | device_type |||| C Frame - enclosure | body_enclosure | housing_protection | casing_type,motor type | product type,,,body enclosure | brand | casing type | company | device type | enclosure | housing protection | make | manufacturer | model | model name | model no | model number | type
